radius,zone_deviation,highlight,label
0.364,0.366,False,59-zone-1_string
0.856,0.3,False,Objective_2860
1.0365,0.187,False,Objective_1840
1.0365,0.187,False,Objective_1740
1.16,0.199,False,Objective_2080
1.1635,0.279,False,18-zone-1_2
1.1705,0.263,False,Objective_2830
1.18,0.231,False,Objective_2260
1.18,0.231,False,Objective_2360
1.213,0.269,False,Objective_2810
1.213,0.269,False,Objective_2810
1.2995,0.238,False,Objective_2320
1.4005,0.265,False,13-zone-7
1.4405,0.193,False,Objective_2700
1.4405,0.197,False,Objective_2710
1.4405,0.201,False,Objective_2220
1.443,0.267,False,Objective_2270
1.5045,0.168,False,Objective_2129
1.505,0.184,False,Objective_2120
1.505,0.184,False,Objective_2120
1.5055,0.264,False,Objective_2380
1.5115,0.234,False,Objective_1970
1.5115,0.234,False,Objective_2040
1.5115,0.241,False,Objective_2030
1.5115,0.241,False,Objective_2030
1.518,0.185,False,Objective_2300
1.528,0.243,False,Objective_2050
1.5315,0.261,False,18-zone-1_1
1.584,0.284,False,Objective_2300
1.5925,0.273,False,Objective_2380
1.6135,0.269,False,Objective_2300
1.6255,0.245,False,Objective_2060
1.6255,0.27,False,Objective_2930
1.6485,0.177,False,Objective_2110
1.658,0.236,False,Objective_2280
1.658,0.237,False,Objective_1950
1.658,0.237,False,Objective_2060
1.663,0.234,False,Objective_1950
1.6925,0.242,False,Objective_2520
1.709,0.238,False,Objective_1360
1.709,0.238,False,Objective_1359
1.717,0.199,False,Objective_2240
1.729,0.211,False,Objective_1370
1.7325,0.277,False,Objective_2850
1.7635,0.231,False,Objective_2110
1.7635,0.235,False,Objective_2410
1.7635,0.242,False,Objective_2100
1.7635,0.242,False,Objective_1970
1.7635,0.246,False,Objective_2160
1.7635,0.246,False,Objective_2160
1.7645,0.1,False,Objective_2220
1.765,0.252,False,Objective_2340
1.784,0.203,False,Objective_1830
1.784,0.233,False,Objective_1850
1.795,0.155,False,Objective_1910
1.795,0.156,False,Objective_2270
