block_geoid,geometry,aland10,awater10,blockce10,countyfp10,funcstat10,geoid10,intptlat10,intptlon10,mtfcc10,name10,statefp10,tractce10,uace10,ur10
60750262005,"POLYGON ((-122.46697900000001 37.70821, -122.46718299999999 37.708232, -122.46788299999999 37.708232, -122.46845000000002 37.708232, -122.468607 37.708231999999995, -122.468883 37.708231999999995, -122.468915 37.708232, -122.46893900000002 37.708231999999995, -122.46847400000001 37.708685, -122.46815600000001 37.70893600000001, -122.467718 37.709282, -122.46721 37.70960399999999, -122.46716200000002 37.70963400000001, -122.466792 37.70982599999999, -122.46620300000001 37.71006800000001, -122.46599400000001 37.710153999999996, -122.464939 37.71043599999999, -122.46476699999998 37.71048199999999, -122.464372 37.710526, -122.464176 37.710547999999996, -122.46347500000002 37.710556000000004, -122.462561 37.71056699999998, -122.46234700000001 37.71057, -122.46115999999999 37.710584, -122.460858 37.71058599999999, -122.460567 37.71045099999997, -122.46052000000002 37.710378999999996, -122.46048200000001 37.71032199999999, -122.460619 37.710028, -122.460613 37.70967299999999, -122.46044300000001 37.709541999999985, -122.458825 37.70844499999999, -122.45850899999999 37.708231, -122.45905 37.708231, -122.45989399999769 37.708231999999995, -122.459894 37.708232, -122.45989400000003 37.708232, -122.46006049999998 37.708231999999995, -122.46069250000002 37.70823199999999, -122.460783 37.708232, -122.461275 37.708231999999995, -122.46138299999998 37.708232, -122.462053 37.708231999999995, -122.462282 37.708231999999995, -122.46260100000002 37.70823199999999, -122.46274000000001 37.708232, -122.462783 37.708232, -122.46278300000341 37.70823200000042, -122.46358300000001 37.708332, -122.464043 37.708239999999996, -122.464083 37.708231999999995, -122.46445 37.70823199999999, -122.464483 37.708231999999995, -122.4646699999958 37.70821100000047, -122.46467000000001 37.70821100000002, -122.46489599999991 37.70818599999999, -122.46489599999998 37.70818599999999, -122.46538299979042 37.70813200002324, -122.465383 37.70813200000002, -122.46575700000001 37.708132, -122.466284 37.708131, -122.46662799999999 37.70816899999999, -122.46663199999993 37.708169000000005, -122.466632 37.708169000000005, -122.466791 37.708187, -122.46679100000132 37.708187000000144, -122.466954 37.708206000000004, -122.46697900000001 37.70821))",14602.0,0.0,5014,075,S,060750262005014,+37.7088247,-122.4600338,G5040,Block 5014,06,026200,,
60750262004,"POLYGON ((-122.46044300000001 37.709541999999985, -122.460613 37.70967299999999, -122.460619 37.710028, -122.46048200000001 37.71032199999999, -122.46052000000002 37.710378999999996, -122.460567 37.71045099999997, -122.460858 37.71058599999999, -122.45900199999998 37.710595999999995, -122.45830699999999 37.7106, -122.457312 37.71064799999999, -122.456376 37.710825, -122.456339 37.710831999999975, -122.45604999999999 37.710927000000005, -122.455622 37.711068000000004, -122.455426 37.710910999999996, -122.45528100000001 37.710795000000005, -122.45515800000001 37.71069699999999, -122.45488499999999 37.71047899999999, -122.45454699999998 37.71020699999999, -122.45388799999999 37.709679, -122.45324900000001 37.709167, -122.452879 37.70887, -122.452665 37.708806, -122.454281 37.708256, -122.45398300000006 37.708232, -122.45398300000026 37.70823199999999, -122.454341 37.70823199999999, -122.45435600000002 37.708231999999995, -122.45435600000002 37.708232, -122.4543560000147 37.708231999999974, -122.45574699999999 37.708231, -122.457183 37.70823499999997, -122.457916 37.70824299999999, -122.45850899999999 37.708231, -122.458825 37.70844499999999, -122.46044300000001 37.709541999999985))",599.0,0.0,4001,075,S,060750262004001,+37.7107285,-122.4563723,G5040,Block 4001,06,026200,,
60750263031,"POLYGON ((-122.450386 37.708200999999995, -122.451675 37.708149, -122.45218299999999 37.708132, -122.45244214893782 37.70814636170223, -122.45247000000002 37.708147999999994, -122.45250590673403 37.70814989507763, -122.452995 37.708177, -122.45380699999757 37.70822199999987, -122.45380700000001 37.708222000000006, -122.453983 37.708232, -122.45398300000006 37.708232, -122.454281 37.708256, -122.452665 37.708806, -122.45189500000001 37.709067999999995, -122.450884 37.709413, -122.45049900000001 37.709543, -122.450095 37.70968, -122.44930900000001 37.70994599999999, -122.44893100000002 37.710074, -122.44837699999998 37.710373000000004, -122.447672 37.710749, -122.44638299999998 37.711436, -122.44609100000001 37.711591999999996, -122.445528 37.711887, -122.44474299999999 37.712621999999975, -122.444571 37.71278299999998, -122.44409700000001 37.71168900000001, -122.44368600000001 37.71120299999998, -122.443335 37.71055500000001, -122.44300000000003 37.709934999999994, -122.44266899999998 37.709320999999996, -122.442923 37.70923499999999, -122.44483900000002 37.70858399999999, -122.44582399999999 37.70825, -122.44587499999999 37.708233, -122.446381 37.708229, -122.44638100000779 37.70822900000013, -122.44722500000002 37.70824499999999, -122.44724366666668 37.70823966666664, -122.447281 37.70822900000001, -122.44728100010084 37.70822899999943, -122.44923299999978 37.708218, -122.44923299999999 37.708217999999995, -122.44923695076923 37.708218024615384, -122.449554 37.708220000000004, -122.44975099999999 37.70821300000001, -122.44985275 37.70820975000001, -122.450158 37.70820000000001, -122.45022 37.708197999999996, -122.450386 37.708200999999995))",10611.0,0.0,1011,075,S,060750263031011,+37.7087647,-122.4469268,G5040,Block 1011,06,026303,,
60750262003,"POLYGON ((-122.45454699999998 37.71020699999999, -122.45488499999999 37.71047899999999, -122.45515800000001 37.71069699999999, -122.45528100000001 37.710795000000005, -122.455426 37.710910999999996, -122.455622 37.711068000000004, -122.455596 37.711076, -122.455028 37.71131699999997, -122.45450400000001 37.711634, -122.453999 37.71196, -122.453871 37.712042999999994, -122.45295100000001 37.712772, -122.452884 37.71282899999998, -122.45270800000002 37.712672999999995, -122.452525 37.71251, -122.45195500000001 37.712056, -122.45153799999999 37.71172800000001, -122.450774 37.711118, -122.45013800000001 37.710609, -122.44946300000001 37.71006900000001, -122.44930900000001 37.70994599999999, -122.450095 37.70968, -122.45049900000001 37.709543, -122.450884 37.709413, -122.45189500000001 37.709067999999995, -122.452665 37.708806, -122.452879 37.70887, -122.45324900000001 37.709167, -122.45388799999999 37.709679, -122.45454699999998 37.71020699999999))",1419.0,0.0,3003,075,S,060750262003003,+37.7116163,-122.4525442,G5040,Block 3003,06,026200,,
60750314002,"POLYGON ((-122.456051 37.711124, -122.45581600000001 37.711223, -122.455748 37.71134599999999, -122.455592 37.711477, -122.455088 37.71190099999999, -122.45466500000002 37.712331, -122.456045 37.71231999999999, -122.45605300000001 37.713194, -122.45606100000002 37.714077, -122.456072 37.714904999999995, -122.45608000000001 37.715788, -122.45597599999998 37.715823, -122.453668 37.715837, -122.45351300000002 37.71579499999999, -122.45315800000002 37.715471, -122.45189500000001 37.71697799999998, -122.451155 37.71658300000002, -122.45037800000001 37.71616899999998, -122.44990399999999 37.71672499999998, -122.449572 37.717115, -122.449262 37.717538, -122.44908499999998 37.71788199999998, -122.448887 37.71817, -122.448605 37.71839600000001, -122.448582 37.718410999999996, -122.44859500000001 37.718309999999995, -122.448666 37.71775099999999, -122.448674 37.717687999999995, -122.44868599999998 37.717596, -122.44872699999999 37.717450000000014, -122.448837 37.717054999999995, -122.44895700000002 37.71681399999999, -122.449211 37.716305999999996, -122.449257 37.716243999999996, -122.44931600000001 37.716163999999985, -122.44938100000002 37.71607499999998, -122.44962699999999 37.715739, -122.449749 37.715617, -122.450235 37.715132, -122.45036600000002 37.715016, -122.450961 37.714501, -122.45120799999998 37.714293999999995, -122.45163399999998 37.71393699999998, -122.451766 37.71381599999997, -122.45227800000002 37.713344, -122.452884 37.71282899999998, -122.45295100000001 37.712772, -122.453871 37.712042999999994, -122.453999 37.71196, -122.45450400000001 37.711634, -122.455028 37.71131699999997, -122.455596 37.711076, -122.455622 37.711068000000004, -122.45604999999999 37.710927000000005, -122.456339 37.710831999999975, -122.456376 37.710825, -122.456051 37.711124))",11435.0,0.0,2009,075,S,060750314002009,+37.7123167,-122.4538370,G5040,Block 2009,06,031400,,
60750313023,"POLYGON ((-122.47121500000002 37.708939, -122.471225 37.70965699999999, -122.471239 37.710648, -122.471252 37.711592, -122.47125499999999 37.711831, -122.47131100000001 37.712475000000005, -122.471337 37.71268899999999, -122.471355 37.712801999999996, -122.471163 37.71280399999999, -122.470895 37.712806, -122.470331 37.712812000000014, -122.46999300000002 37.71278100000001, -122.46930599999999 37.712647, -122.46867 37.712523999999995, -122.468446 37.7125, -122.46801800000001 37.712455, -122.46719200000001 37.712476999999986, -122.467073 37.712422, -122.467094 37.714273, -122.466199 37.71427999999999, -122.4653 37.714286999999985, -122.464401 37.714293999999995, -122.46350000000001 37.714301, -122.462602 37.71430799999998, -122.462589 37.71402999999999, -122.462555 37.713904, -122.462569 37.71315000000001, -122.46258099999999 37.712523, -122.46258099999999 37.712274, -122.46257 37.71137, -122.462546 37.711171, -122.462362 37.711175000000004, -122.461901 37.71097399999999, -122.46132300000001 37.710793, -122.46102899999998 37.71066499999999, -122.460858 37.71058599999999, -122.46115999999999 37.710584, -122.46234700000001 37.71057, -122.462561 37.71056699999998, -122.46347500000002 37.710556000000004, -122.464176 37.710547999999996, -122.464372 37.710526, -122.46476699999998 37.71048199999999, -122.464939 37.71043599999999, -122.46599400000001 37.710153999999996, -122.46620300000001 37.71006800000001, -122.466792 37.70982599999999, -122.46716200000002 37.70963400000001, -122.46721 37.70960399999999, -122.467718 37.709282, -122.46815600000001 37.70893600000001, -122.46847400000001 37.708685, -122.46893900000002 37.708231999999995, -122.469057 37.708231999999995, -122.469236 37.708231999999995, -122.470883 37.708232, -122.471001 37.708252, -122.471077 37.708264, -122.471319 37.70830499999999, -122.471277 37.708608999999996, -122.471268 37.708656000000005, -122.47121500000002 37.708939))",15682.0,0.0,3004,075,S,060750313023004,+37.7133816,-122.4666376,G5040,Block 3004,06,031302,,
60750314003,"POLYGON ((-122.46102899999998 37.71066499999999, -122.46132300000001 37.710793, -122.461901 37.71097399999999, -122.462362 37.711175000000004, -122.462546 37.711171, -122.46257 37.71137, -122.46258099999999 37.712274, -122.46258099999999 37.712523, -122.462569 37.71315000000001, -122.459024 37.71317199999999, -122.45605300000001 37.713194, -122.456045 37.71231999999999, -122.45466500000002 37.712331, -122.455088 37.71190099999999, -122.455592 37.711477, -122.455748 37.71134599999999, -122.45581600000001 37.711223, -122.456051 37.711124, -122.456376 37.710825, -122.457312 37.71064799999999, -122.45830699999999 37.7106, -122.45900199999998 37.710595999999995, -122.460858 37.71058599999999, -122.46102899999998 37.71066499999999))",544.0,0.0,3005,075,S,060750314003005,+37.7113892,-122.4558332,G5040,Block 3005,06,031400,,
60750314004,"POLYGON ((-122.462602 37.71430799999998, -122.462608 37.71488399999999, -122.462615 37.715619, -122.46243000000001 37.71573699999999, -122.45905500000002 37.715757999999994, -122.459064 37.716603, -122.45608699999998 37.71663000000001, -122.45608000000001 37.715788, -122.456072 37.714904999999995, -122.45606100000002 37.714077, -122.45605300000001 37.713194, -122.459024 37.71317199999999, -122.462569 37.71315000000001, -122.462555 37.713904, -122.462589 37.71402999999999, -122.462602 37.71430799999998))",29554.0,0.0,4001,075,S,060750314004001,+37.7153201,-122.4608257,G5040,Block 4001,06,031400,,
60750314005,"POLYGON ((-122.46262500000002 37.716570999999995, -122.462633 37.717421, -122.46264 37.71793599999998, -122.462639 37.71821099999999, -122.46224499999998 37.718219999999995, -122.461231 37.71823199999999, -122.460209 37.71823099999999, -122.45918700000001 37.71823, -122.458163 37.71823199999999, -122.457145 37.718233000000005, -122.456108 37.71823499999999, -122.45609400000002 37.71747699999999, -122.45608699999998 37.71663000000001, -122.459064 37.716603, -122.45905500000002 37.715757999999994, -122.46243000000001 37.71573699999999, -122.462615 37.715619, -122.46262 37.71614399999999, -122.46262500000002 37.716570999999995))",27411.0,0.0,5001,075,S,060750314005001,+37.7178315,-122.4608719,G5040,Block 5001,06,031400,,
60750262001,"POLYGON ((-122.44740900000001 37.71265, -122.44810799999999 37.713211, -122.44894999999998 37.713886, -122.44909900000002 37.713883, -122.449657 37.71362799999999, -122.449995 37.713473, -122.45063099999999 37.71311699999998, -122.45101199999999 37.712854999999976, -122.451911 37.712157999999995, -122.45195500000001 37.712056, -122.452525 37.71251, -122.45270800000002 37.712672999999995, -122.452884 37.71282899999998, -122.45227800000002 37.713344, -122.451766 37.71381599999997, -122.45163399999998 37.71393699999998, -122.45120799999998 37.714293999999995, -122.450961 37.714501, -122.45036600000002 37.715016, -122.450235 37.715132, -122.449749 37.715617, -122.44962699999999 37.715739, -122.44938100000002 37.71607499999998, -122.44931600000001 37.716163999999985, -122.449257 37.716243999999996, -122.449211 37.716305999999996, -122.44895700000002 37.71681399999999, -122.448837 37.717054999999995, -122.44872699999999 37.717450000000014, -122.44849599999999 37.717314, -122.44796 37.717000000000006, -122.44735299999998 37.71651499999999, -122.446945 37.716187, -122.446372 37.71572799999999, -122.44583500000002 37.71529799999999, -122.445646 37.715146000000004, -122.444936 37.71457699999999, -122.44432499999999 37.714087, -122.44370599999999 37.713591999999984, -122.443952 37.713362000000004, -122.444571 37.71278299999998, -122.44474299999999 37.712621999999975, -122.445528 37.711887, -122.44609100000001 37.711591999999996, -122.44680000000001 37.712160999999995, -122.44740900000001 37.71265))",13262.0,0.0,1013,075,S,060750262001013,+37.7129710,-122.4471578,G5040,Block 1013,06,026200,,
