geoid,block_group,lat,lon
060750262005019,060750262005,37.7083023,-122.4587947
060750262005020,060750262005,37.708334,-122.4616843
060750262004016,060750262004,37.7085137,-122.4580941
060750262005015,060750262005,37.7085434,-122.4609315
060750262005014,060750262005,37.7088247,-122.4600338
060750262004015,060750262004,37.7091792,-122.4592744
060750262004014,060750262004,37.7094365,-122.4583551
060750262005013,060750262005,37.7094694,-122.4612048
060750262004009,060750262004,37.7098561,-122.45907
060750262005003,060750262005,37.7100068,-122.4615885
060750263031010,060750263031,37.7083967,-122.4530827
060750262004012,060750262004,37.7087218,-122.4534664
060750262004013,060750262004,37.7087593,-122.4571472
060750262004011,060750262004,37.7088004,-122.4544806
060750262004008,060750262004,37.709744,-122.4548333
060750262003011,060750262003,37.7094485,-122.4521026
060750262004007,060750262004,37.709896,-122.4557191
060750262003012,060750262003,37.7099499,-122.4528959
060750262004006,060750262004,37.710256,-122.4559455
060750262004004,060750262004,37.7103803,-122.4567556
060750262003006,060750262003,37.7104574,-122.4535442
060750262003013,060750262003,37.7104637,-122.4544165
060750262004005,060750262004,37.7105133,-122.4558686
060750262003004,060750262003,37.7106095,-122.4548327
060750262004001,060750262004,37.7107285,-122.4563723
060750262004000,060750262004,37.7108538,-122.4558859
060750262003005,060750262003,37.7108118,-122.4539902
060750262003007,060750262003,37.7109191,-122.4522073
060750314002012,060750314002,37.7110173,-122.4560683
060750314002011,060750314002,37.7110736,-122.4558154
060750313023036,060750313023,37.7102574,-122.4657172
060750313023019,060750313023,37.7110208,-122.4630528
060750313023016,060750313023,37.7112453,-122.4664505
060750313023011,060750313023,37.711137,-122.4639421
060750313023014,060750313023,37.7111936,-122.4657107
060750313023013,060750313023,37.7112156,-122.4648285
060750314003007,060750314003,37.7113047,-122.462393
060750313023010,060750313023,37.7113409,-122.4627058
060750313023009,060750313023,37.7113632,-122.4631659
060750313023012,060750313023,37.7116625,-122.4645058
060750262004010,060750262004,37.7100303,-122.4574944
060750262004003,060750262004,37.7102479,-122.4585941
060750262005002,060750262005,37.7103521,-122.4611341
060750262005000,060750262005,37.7104844,-122.4608101
060750262004002,060750262004,37.710524,-122.4585801
060750313023020,060750313023,37.710744,-122.4620803
060750313023021,060750313023,37.7108777,-122.4617775
060750314003006,060750314003,37.7110307,-122.4590538
060750314003002,060750314003,37.7118319,-122.460791
060750314003003,060750314003,37.7118528,-122.4575249
060750262003002,060750262003,37.7111159,-122.4538207
060750314003005,060750314003,37.7113892,-122.4558332
060750262003003,060750262003,37.7116163,-122.4525442
060750262003001,060750262003,37.7116359,-122.4535166
060750314002010,060750314002,37.71187,-122.4548935
060750314003004,060750314003,37.7119693,-122.4555375
060750262003000,060750262003,37.7118068,-122.4540996
060750314002009,060750314002,37.7123167,-122.453837
