studentno,413-GE-KG,420-GE-KG,420-SE-KG,420-SN-KG,435-GE-KG,456-GE-KG,456-SB-KG,618-SN-KG,618-SE-KG,449-FB-KG,449-GE-KG,625-GE-KG,603-SB-KG,603-GE-KG,872-CB-KG,872-GE-KG,509-CE-KG,509-CN-KG,478-GE-KG,478-JE-KG,478-JN-KG,481-SB-KG,481-GE-KG,525-GE-KG,507-GE-KG,521-GE-KG,539-GE-KG,680-SN-KG,680-GE-KG,680-SE-KG,562-CN-KG,562-CE-KG,562-GE-KG,575-SB-KG,575-GE-KG,589-GE-KG,593-SB-KG,593-GE-KG,453-GE-KG,453-SE-KG,453-SN-KG,614-SB-KG,614-CB-KG,614-GE-KG,537-SE-KG,537-SN-KG,644-GE-KG,544-GE-KG,838-GE-KG,838-ME-KG,838-MN-KG,664-GE-KG,670-GE-KG,490-CB-KG,490-GE-KG,676-GE-KG,476-NC-KG,479-GE-KG,479-KE-KG,479-KN-KG,691-FB-KG,691-SB-KG,691-GE-KG,830-GE-KG,714-SE-KG,714-SN-KG,549-GE-KG,718-GE-KG,505-GE-KG,722-GE-KG,724-NS-KG,729-CB-KG,729-GE-KG,729-SE-KG,729-SN-KG,723-CB-KG,723-GE-KG,723-SB-KG,650-SB-KG,650-GE-KG,735-GE-KG,746-GE-KG,746-ME-KG,746-MN-KG,638-CB-KG,638-GE-KG,786-JE-KG,786-GE-KG,786-JN-KG,569-GE-KG,790-GE-KG,760-SN-KG,760-GE-KG,760-SE-KG,796-GE-KG,816-SB-KG,816-GE-KG,656-SB-KG,656-GE-KG,493-GE-KG,814-GE-KG,820-GE-KG,823-GE-KG,488-GE-KG,834-CB-KG,834-GE-KG,834-SB-KG,782-GE-KG,842-GE-KG,750-GE-KG,848-CB-KG,848-GE-KG,513-CB-KG,513-SB-KG,513-GE-KG,859-GE-KG,862-CB-KG,862-GE-KG,867-CB-KG,867-GE-KG,497-SN-KG,497-GE-KG,497-SE-KG,876-CE-KG,876-CN-KG,876-GE-KG,801-GE-KG,485-CE-KG,485-CT-KG
2324-1000000,-3.815013,-0.975213,-1.691436,0.582828,-3.097051,-2.043426,-0.112429,1.640921,-0.633344,-inf,-2.791389,-4.613154,16.119545,14.188549,-inf,-3.653087,-2.977678,-inf,-1.331745,-2.360646,-inf,-2.533618,-4.464614,-4.224172,-4.029009,-4.571484,-3.93068,1.144961,-0.41308,-1.129304,-inf,-6.494967,-5.023508,-0.779598,-2.710594,-1.584597,-3.356617,-5.287613,-5.504009,-6.220233,-3.945968,-1.751904,-inf,-3.682901,-2.219349,0.054916,-2.92605,-4.212903,-2.586923,-2.978274,-inf,-4.336831,-4.997786,-inf,-3.715564,-3.024899,-inf,-2.345829,-4.199275,-inf,-inf,-3.320447,-5.251444,-4.641279,-3.074865,-0.8006,-3.805317,-1.573885,-2.341165,-1.839883,-2.316838,-inf,-3.653541,-4.369765,-2.0955,-inf,-0.710615,1.220382,-1.577883,-3.50888,-2.493536,-4.777565,-5.168916,-inf,-inf,-4.850517,-4.977315,-3.948413,-inf,-2.286755,-4.358045,-2.026822,-3.584862,-4.301086,-1.242523,-0.930083,-2.86108,-0.958977,-2.889973,-3.653353,-3.39512,-5.579321,-3.181944,-3.200774,-inf,-4.993401,-3.062404,-4.0485,-2.353063,-3.003553,-inf,-4.965764,-inf,-1.903522,-3.834519,-3.981461,-inf,-3.757589,-inf,-5.236329,-0.684121,-2.242161,-2.958385,-3.697985,-inf,-2.226526,-3.838888,-4.059911,-inf
2324-1000001,-2.357139,-1.677865,-2.394089,-inf,-1.994181,-3.304504,-inf,-inf,-3.220657,-inf,0.078494,-5.535502,-inf,-2.83435,0.773438,-0.877137,-2.372469,-0.086527,-1.526751,-2.555652,-inf,-inf,-5.772161,-2.367141,-5.206725,-5.853631,-3.96156,-inf,-3.334406,-4.05063,-1.364151,-3.650094,-2.178635,-inf,-4.015512,-1.374529,-inf,-6.382975,-6.487676,-7.2039,-inf,-inf,-3.541964,-5.192538,-3.811006,-inf,-2.323265,-3.382769,-3.422719,-3.814069,-inf,-2.985323,-5.142383,0.631343,-1.019231,-2.410236,-2.299955,-0.715889,-2.569334,-inf,-inf,-inf,-6.185092,-5.39026,-2.820597,-inf,-2.731192,-1.255436,-2.720822,-2.706363,-inf,-3.358001,-5.008576,-5.724799,-inf,-1.219977,-2.870551,-inf,-inf,-2.490438,-1.600503,-5.366629,-5.75798,-inf,-0.450336,-2.10091,-3.175372,-2.14647,-inf,-0.838705,-1.909066,-inf,-5.245539,-5.961763,-1.69581,-inf,-2.940126,-inf,-4.517707,-4.987957,-1.1775,-6.321295,-0.630632,-3.631871,-0.75963,-2.410204,-inf,-3.627875,-3.34998,-2.411642,-1.872604,-3.523178,-3.608814,-inf,-5.259389,-1.934259,-1.78483,-3.435404,-4.78834,-6.438914,-inf,-2.303546,-3.01977,-4.065176,-1.779234,-2.593718,-1.054943,-3.752687,0.400127
2324-1000002,-2.757327,-0.875591,-0.392849,-inf,-2.139954,-3.139678,-inf,-inf,-1.30886,-inf,-2.012075,-5.923626,-inf,-2.258163,-inf,-2.607304,-1.891941,-inf,-1.011156,-1.766317,-inf,-inf,-5.598261,-2.829656,-5.400888,-5.947612,-3.870712,-inf,-2.932609,-2.449866,-inf,-5.36634,-3.90169,-inf,-3.568468,-0.828667,-inf,-6.387062,-6.899308,-6.416565,-inf,-inf,-inf,-4.957365,-2.075127,-inf,-2.253005,-3.668992,-3.48963,-4.061025,-inf,-3.439221,-5.150666,-inf,-2.598832,-2.487044,-inf,-1.068944,-3.702158,-inf,-inf,-inf,-6.175222,-5.885101,0.253093,-inf,-2.752042,-0.509202,-1.854917,-2.216124,-inf,-inf,-4.727669,-4.244926,-inf,-inf,-2.384598,-inf,-inf,-2.111429,-1.367446,-5.334498,-5.905892,-inf,-inf,-3.681611,-3.304106,-2.548946,-inf,-1.104526,-3.077034,-inf,-4.952339,-4.469597,-0.966607,-inf,-0.845534,-inf,-4.09189,-4.690063,-1.996871,-6.279467,-1.831267,-3.457335,-inf,-3.716939,-inf,-3.713875,-2.98101,-2.613334,-inf,-3.832899,-inf,-inf,-5.225585,-2.691052,-inf,-3.633373,-inf,-6.5873,-inf,-2.662782,-2.18004,-3.70062,-inf,-2.235971,-2.584887,-3.501608,-inf
2324-1000003,-3.566947,-2.366895,-3.083119,-inf,-2.934326,-5.130931,-inf,-inf,-4.661515,-inf,-5.618075,-5.975588,-inf,-4.694632,-inf,-5.98377,-4.395773,-inf,-1.406526,-2.435428,-inf,-inf,-3.292308,-5.871525,-5.337856,-4.347817,-1.77826,-inf,-4.491001,-5.207225,-inf,-8.707779,-7.236321,-inf,-2.461096,-2.507148,-inf,-2.727281,-5.694254,-6.410478,-inf,-inf,-inf,-4.002556,-3.600763,-inf,-2.332969,-2.368279,-5.573627,-5.964978,-inf,-3.355575,-2.010669,-inf,-6.083691,-1.653742,-inf,-3.211117,-5.064562,-inf,-inf,-inf,-0.560498,-6.168512,-5.875481,-inf,-4.235388,-3.437596,-4.073058,-1.171681,-inf,-inf,-2.924094,-3.640318,-inf,-inf,-5.071318,-inf,-inf,-5.761305,-3.626116,-1.086953,-1.478304,-inf,-inf,-7.107607,-7.051741,-6.02284,-inf,-2.810952,-6.635581,-inf,-5.221385,-5.937609,-2.252128,-inf,-5.083753,-inf,-4.08544,-2.860717,-5.202341,-0.582872,-5.123703,-0.709054,-inf,-7.186193,-inf,-2.070866,-0.904854,-0.892854,-inf,-5.196889,-inf,-inf,-4.52388,-6.407249,-inf,-0.925992,-inf,-4.350414,-inf,-5.259911,-5.976135,-2.521557,-inf,-1.050099,-5.908075,-3.626814,-inf
2324-1000004,-5.094799,-2.174684,-2.890908,-0.616643,-4.290527,-3.747818,-1.816822,-1.416102,-3.690367,-inf,-4.958273,-4.26375,-1.692155,-3.623151,-inf,-5.82828,-4.624,-inf,-2.103009,-3.13191,-inf,-0.695134,-2.62613,-6.193403,-3.498712,-2.645574,-3.847416,-1.553951,-3.111992,-3.828216,-inf,-8.6779,-7.206442,-0.146769,-2.077766,-2.908332,-1.393847,-3.324844,-4.181143,-4.897367,-2.623103,0.932254,-inf,-0.998743,-2.48961,-0.215345,-3.774558,-4.669714,-4.18355,-4.574901,-inf,-5.321711,-4.504152,-inf,-5.89962,-3.574984,-inf,-4.041407,-5.894853,-inf,-inf,-1.636547,-3.567544,-4.526677,-5.223472,-2.949207,-5.20352,-3.344388,-3.865334,-1.74008,-2.702208,-inf,-2.187453,-2.903677,-0.629412,-inf,-4.008119,-2.077122,-3.610284,-5.541281,-4.099072,-3.684874,-4.076225,-inf,-inf,-7.035225,-7.045819,-6.016918,-inf,-3.824834,-6.524624,-1.933149,-3.49119,-4.207414,-2.347163,-2.787549,-4.718546,-0.743235,-2.674232,-2.282326,-5.459299,-4.271206,-5.317345,-2.712801,-inf,-7.163074,-5.232077,-4.27046,-1.649654,-3.251175,-inf,-6.404137,-inf,-0.554093,-2.48509,-6.140328,-inf,-3.582008,-inf,11.378631,-2.491091,-4.049131,-4.765355,-3.805494,-inf,-2.334036,-6.016062,-4.848865,-inf
2324-1000005,-3.055858,-1.037042,-1.383932,-inf,-2.404693,-3.28719,-inf,-inf,-2.561138,-inf,-3.888211,-4.364193,-inf,-2.920468,-inf,-4.319663,-3.200175,-inf,-0.678326,-1.433486,-inf,-inf,-2.352275,-4.583305,-3.705451,-3.153489,-2.207901,-inf,-2.655285,-3.002175,-inf,-7.074405,-5.609756,-inf,0.042562,-1.484268,-inf,-2.942424,-4.454122,-4.801012,-inf,-inf,-inf,-2.311376,-1.455337,-inf,-1.999515,-2.620764,-3.725942,-4.297337,-inf,-3.169241,-2.91217,-inf,-4.447534,-1.690426,-inf,-2.233058,-4.866273,-inf,-inf,-inf,-2.808301,-4.526281,-3.848714,-inf,-3.452255,-2.078377,-2.701793,-0.514742,-inf,-inf,-0.447593,-0.794483,-inf,-inf,-3.291132,-inf,-inf,-4.278367,-2.554973,-2.441556,-3.01295,-inf,-inf,-5.501281,-5.338583,-4.583422,-inf,-1.97874,-5.081597,-inf,-3.386572,-3.733463,-1.098439,-inf,-3.593596,-inf,-2.241229,-0.439391,-3.831145,-3.192139,-3.668606,-1.290336,-inf,-5.641641,-inf,-2.412468,-0.531884,-1.292195,-inf,-4.485642,-inf,-inf,-2.943733,-4.833636,-inf,-1.712,-inf,-3.496306,-inf,-3.418565,-3.765455,-2.352294,-inf,-0.887645,-4.36476,-3.196338,-inf
2324-1000006,-3.848379,-3.070219,-3.786443,-1.512178,-3.119689,-6.670701,-4.739704,-3.563882,-5.838147,-inf,-7.095108,-8.062214,-4.053882,-5.984879,-inf,-7.655545,-5.042684,-inf,-1.596643,-2.625544,-inf,-2.860258,-4.791255,-6.810684,-7.284864,-6.260169,-1.093788,-4.339222,-5.897263,-6.613487,-inf,-10.353001,-8.881542,-1.50841,-3.439407,-2.959275,-2.508256,-4.439253,-7.892787,-8.609011,-6.334746,-3.586597,-inf,-5.517594,-4.763238,-2.488974,-2.26665,-2.033493,-7.222637,-7.613988,-inf,-3.426637,-1.028293,-inf,-7.620881,-1.34836,-inf,-3.851533,-5.704979,-inf,-inf,-1.331469,-3.262466,-8.307373,-7.064796,-4.790532,-4.597333,-4.234319,-4.831047,-1.540941,-4.353865,-inf,-4.245531,-4.961755,-2.68749,-inf,-6.406596,-4.475599,-4.839336,-6.770333,-4.197757,0.222789,-0.168561,-inf,-inf,-8.639237,-8.115791,-7.08689,-inf,-3.297573,-7.953001,-5.156336,-6.714377,-7.430601,-2.797564,-4.071288,-6.002285,-3.457761,-5.388757,-4.127374,-6.302811,-2.467043,-6.406994,-0.065489,-inf,-8.552159,-6.621162,-1.539362,-1.482348,-0.400058,-inf,-5.598482,-inf,-4.360973,-6.29197,-7.649793,-inf,-0.194072,-inf,-6.319719,-5.3877,-6.945741,-7.661965,-2.332981,-inf,-0.861522,-7.389879,-3.5852,-inf
2324-1000007,-3.063308,-2.520747,-3.236971,-0.962707,-2.696972,-4.368264,-2.437267,-1.872378,-4.146643,-inf,-1.721183,-7.051424,-1.829876,-3.760873,-inf,-0.938813,-2.839695,-inf,-2.409842,-3.438744,-inf,-5.358523,-7.28952,-2.396781,-6.676036,-7.474884,-5.262375,-2.855199,-4.41324,-5.129464,-inf,-3.660009,-2.188551,-3.354664,-5.285661,-2.020806,-6.159213,-8.090209,-8.214661,-8.930884,-6.65662,-4.65697,-inf,-6.587967,-4.96079,-2.686526,-3.197798,-4.607762,-4.50295,-4.894301,-inf,-3.943645,-6.640895,-inf,-0.902876,-3.491589,-inf,-1.035593,-2.889039,-inf,-inf,-5.961444,-7.892441,-6.898009,-3.473196,-1.198931,-3.27186,-1.777803,-3.444733,-3.873571,-4.800531,-inf,-6.428915,-7.145139,-4.870874,-inf,-3.77556,-1.844564,-0.891115,-2.822112,-2.024751,-6.991655,-7.383005,-inf,-inf,-1.964247,-3.157962,-2.12906,-inf,-1.292979,-0.418552,-4.946314,-6.504354,-7.220578,-2.512067,-1.638897,-3.569893,-3.815508,-5.746505,-6.397064,-1.058818,-7.972031,14.082924,-5.022189,-inf,-2.104491,-0.173495,-4.88023,-4.677565,-3.707648,-inf,-4.07112,-inf,-4.793201,-6.724198,-0.81695,-inf,-4.92863,-inf,-8.153521,-1.743031,-3.301072,-4.017296,-5.201864,-inf,-3.730406,-0.919002,-4.630639,-inf
2324-1000008,-0.465022,-2.936428,-3.283318,-inf,-0.026366,-7.104188,-inf,-inf,-5.671469,-inf,-6.315367,-9.465304,-inf,-6.136525,-inf,-6.147481,-3.592595,-inf,-0.955245,-1.710406,-inf,-inf,-7.086394,-4.752522,-8.739634,-8.380541,-1.416892,-inf,-6.496356,-6.843246,-inf,-8.671251,-7.206601,-inf,-5.001463,-1.718534,-inf,-7.319861,-9.877398,-10.224289,-inf,-inf,-inf,-7.255428,-5.397764,-inf,0.348634,0.731131,-7.610897,-8.182292,-inf,0.176435,-2.879842,-inf,-6.132497,2.639248,-inf,-1.204574,-3.837788,-inf,-inf,-inf,-6.411439,-9.592368,-6.133221,-inf,-2.015075,-3.221795,-4.342655,-2.635781,-inf,-inf,-6.273186,-6.620076,-inf,-inf,-6.460204,-inf,-inf,-5.604523,-2.324358,-4.349783,-4.921177,-inf,-inf,-7.001088,-6.227725,-5.472564,-inf,-0.48002,-6.381019,-inf,-7.918284,-8.265174,-2.425291,-inf,-5.361979,-inf,-6.624806,-6.14711,-4.264852,-5.787607,-4.418953,-2.073793,-inf,-6.847958,-inf,-0.039825,-3.390286,1.440319,-inf,-2.551943,-inf,-inf,-8.000548,-6.345672,-inf,-0.196311,-inf,-8.713652,-inf,-7.018288,-7.365178,-2.715711,-inf,-1.251062,-5.514854,-1.797089,-inf
2324-1000009,-1.551656,-0.388978,-1.105202,-inf,-0.831078,-4.240419,-inf,-inf,-3.227353,-inf,-3.397375,-6.853963,-inf,-3.252191,-1.982583,-3.633157,0.139885,2.425827,0.288234,-0.740668,-inf,-inf,-5.511393,-2.779595,-6.21036,-6.333399,-2.56228,-inf,-3.755135,-4.471358,-4.003592,-6.289534,-4.818076,-inf,-3.297525,1.746537,-inf,-6.15912,-7.575712,-8.291936,-inf,-inf,-3.536335,-5.18691,-3.451947,-inf,-0.802545,-2.212363,-4.705198,-5.096548,-inf,-2.091251,-3.945038,-1.941243,-3.591817,-1.030283,-5.043005,-0.318429,-2.171874,-inf,-inf,-inf,-5.696556,-6.90575,-3.51297,-inf,-1.553869,-0.259966,-1.483316,-1.435772,-inf,-2.962481,-4.613056,-5.32928,-inf,-1.880646,-3.53122,-inf,-inf,-2.769991,-0.374811,-4.455642,-4.846993,-inf,-2.924597,-4.575172,-4.022851,-2.993949,-inf,-0.110576,-3.884219,-inf,-5.477493,-6.193717,-0.051474,-inf,-2.37423,-inf,-4.350262,-4.529544,-2.233522,-5.54753,-2.315969,-2.371385,-2.816861,-4.467435,-inf,-2.283564,-2.346614,-1.167965,-1.0881,-2.738674,-4.079965,-inf,-5.730539,-3.640718,-0.611067,-2.261641,-5.208608,-6.859182,-inf,-4.041955,-4.758179,-2.521001,-0.235058,-1.049542,-3.295774,-2.055857,2.096957
