program_id,school_id,program_type,capacity,programno,r1_assigned,r1_first_choice
413-GE-KG,413,GE,64,1,64.0,81.0
420-GE-KG,420,GE,42,4,42.0,83.0
420-SE-KG,420,SE,18,5,18.0,82.0
420-SN-KG,420,SN,26,6,26.0,46.0
435-GE-KG,435,GE,64,8,64.0,57.0
456-GE-KG,456,GE,22,9,20.0,17.0
456-SB-KG,456,SB,22,10,11.0,10.0
618-SN-KG,618,SN,38,11,38.0,9.0
618-SE-KG,618,SE,26,13,26.0,20.0
449-FB-KG,449,FB,22,14,21.0,14.0
449-GE-KG,449,GE,44,15,40.0,32.0
625-GE-KG,625,GE,22,16,15.0,9.0
603-SB-KG,603,SB,44,17,26.0,18.0
603-GE-KG,603,GE,20,19,20.0,36.0
872-CB-KG,872,CB,0,20,0.0,6.0
872-GE-KG,872,GE,44,21,23.0,13.0
509-CE-KG,509,CE,27,22,27.0,36.0
509-CN-KG,509,CN,39,23,39.0,17.0
478-GE-KG,478,GE,42,25,42.0,112.0
478-JE-KG,478,JE,34,26,34.0,60.0
478-JN-KG,478,JN,10,27,10.0,6.0
481-SB-KG,481,SB,33,28,33.0,9.0
481-GE-KG,481,GE,22,29,22.0,24.0
525-GE-KG,525,GE,44,30,44.0,9.0
507-GE-KG,507,GE,44,31,44.0,32.0
521-GE-KG,521,GE,22,33,22.0,20.0
539-GE-KG,539,GE,66,35,66.0,57.0
680-SN-KG,680,SN,26,36,26.0,19.0
680-GE-KG,680,GE,22,38,22.0,23.0
680-SE-KG,680,SE,18,39,18.0,21.0
562-CN-KG,562,CN,11,40,4.0,3.0
562-CE-KG,562,CE,11,42,8.0,7.0
562-GE-KG,562,GE,22,43,11.0,4.0
575-SB-KG,575,SB,22,44,22.0,11.0
575-GE-KG,575,GE,42,45,42.0,63.0
589-GE-KG,589,GE,65,47,65.0,68.0
593-SB-KG,593,SB,22,49,22.0,4.0
593-GE-KG,593,GE,22,50,22.0,19.0
453-GE-KG,453,GE,22,51,22.0,15.0
453-SE-KG,453,SE,9,52,9.0,18.0
453-SN-KG,453,SN,13,53,13.0,11.0
614-SB-KG,614,SB,22,55,22.0,10.0
614-CB-KG,614,CB,0,56,0.0,4.0
614-GE-KG,614,GE,42,57,42.0,29.0
537-SE-KG,537,SE,26,59,26.0,63.0
537-SN-KG,537,SN,38,60,38.0,32.0
644-GE-KG,644,GE,86,62,86.0,68.0
544-GE-KG,544,GE,86,64,86.0,67.0
838-GE-KG,838,GE,22,66,22.0,10.0
838-ME-KG,838,ME,18,67,17.0,11.0
838-MN-KG,838,MN,26,68,19.0,19.0
664-GE-KG,664,GE,86,70,86.0,55.0
670-GE-KG,670,GE,64,72,64.0,40.0
490-CB-KG,490,CB,66,73,22.0,14.0
490-GE-KG,490,GE,44,74,44.0,57.0
676-GE-KG,676,GE,64,76,64.0,91.0
476-NC-KG,476,NC,11,77,3.0,0.0
479-GE-KG,479,GE,66,78,66.0,107.0
479-KE-KG,479,KE,9,79,9.0,24.0
