Block,BlockGroup,Tract,zipcode,aa_school_id,block_type,pop_total,pop_under18,intptlat,intptlon,aland_m2
60750604001012,60750604001,6075060400,94132.0,862,land - zero population,0,0,37.7121909,-122.4982129,24367.0
60750604001011,60750604001,6075060400,94132.0,862,land - populated,1146,98,37.7142322,-122.4954137,284486.0
60750179021024,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8250763,-122.365786,27056.0
60750179021028,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8231268,-122.3648146,22881.0
60750179021013,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8240575,-122.3654894,11679.0
60750179021047,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8247122,-122.3675015,11399.0
60750179021046,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8234832,-122.3674891,36461.0
60750179021029,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8268222,-122.3689071,25186.0
60750179021019,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8283473,-122.3698805,24105.0
60750179021025,60750179021,6075017902,94130.0,872,land - populated,52,17,37.8289657,-122.3719945,8271.0
60750179021032,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8278763,-122.3710714,19078.0
60750179021033,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8255224,-122.3680948,17613.0
60750179021048,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8246813,-122.3689787,18840.0
60750179021049,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8263326,-122.3700572,20456.0
60750179021042,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8257177,-122.3714599,36675.0
60750179021041,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8234733,-122.3708462,84815.0
60750179021039,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8220433,-122.3643763,9068.0
60750179021014,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8211019,-122.365876,28870.0
60750179021051,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8222189,-122.3666634,39315.0
60750179021001,60750179021,6075017902,94130.0,823,land - populated,590,112,37.829365,-122.3715811,832721.0
60750179021036,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8201702,-122.3679191,19311.0
60750179021052,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.820866,-122.3695279,56784.0
60750179021030,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8194106,-122.3696281,18403.0
60750179021045,60750179021,6075017902,94130.0,872,land - populated,100,3,37.8219161,-122.370224,34535.0
60750179021012,60750179021,6075017902,94130.0,823,land - populated,445,61,37.8195699,-122.3711363,10955.0
60750179021040,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8184051,-122.3718598,13392.0
60750179021027,60750179021,6075017902,94130.0,872,land - populated,172,32,37.830687,-122.3735984,27487.0
60750179021043,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.827252,-122.3724692,32095.0
60750179021035,60750179021,6075017902,94130.0,872,land - populated,123,40,37.8295259,-122.3742328,18670.0
60750179021026,60750179021,6075017902,94130.0,872,land - populated,68,25,37.8301335,-122.3760291,11899.0
60750179021034,60750179021,6075017902,94130.0,872,land - populated,323,86,37.8282134,-122.3751099,89790.0
60750179021044,60750179021,6075017902,94130.0,872,land - zero population,0,0,37.8251474,-122.3727715,17507.0
60750179021010,60750179021,6075017902,94130.0,823,land - populated,208,16,37.8246898,-122.3746059,69178.0
60750179021017,60750179021,6075017902,94130.0,823,land - populated,262,66,37.8265346,-122.3753788,51907.0
60750179021053,60750179021,6075017902,94130.0,823,land - populated,51,22,37.8256168,-122.3762957,1568.0
60750179021050,60750179021,6075017902,94130.0,823,land - populated,36,10,37.8256366,-122.3767125,2407.0
60750179021037,60750179021,6075017902,94130.0,823,land - populated,226,34,37.8247675,-122.3766998,25213.0
60750179021015,60750179021,6075017902,94130.0,823,land - populated,53,12,37.8256667,-122.3779186,9544.0
60750179021018,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8211807,-122.373358,139110.0
60750179021023,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8134037,-122.3610956,8470.0
60750179021008,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8120892,-122.3612278,55601.0
60750179021038,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.813423,-122.3625855,2503.0
60750179021057,60750179021,6075017902,94130.0,823,land - populated,2,0,37.8111576,-122.3626026,12772.0
60750179021054,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.811844,-122.3632517,2819.0
60750179021056,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8109275,-122.3630623,5404.0
60750179021058,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8084204,-122.3636364,71339.0
60750179021016,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8128925,-122.3652223,3703.0
60750179021055,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8124952,-122.3649691,1391.0
60750179021060,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8105139,-122.3641813,23523.0
60750179021031,60750179021,6075017902,94130.0,823,land - populated,40,1,37.81142,-122.365514,68827.0
60750179021059,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8093223,-122.3644203,36663.0
60750179021061,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8094715,-122.3658055,716.0
60750179021062,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8094175,-122.3662611,278.0
60750179021006,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8082345,-122.3668358,12383.0
60750179021079,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.8091997,-122.3677804,6372.0
60750179021011,60750179021,6075017902,94130.0,823,land - zero population,0,0,37.809138,-122.3674153,2428.0
60750179021021,60750179021,6075017902,94130.0,823,land - populated,85,10,37.8109783,-122.3695305,45052.0
