Tract,ctip1
6075010100,0
6075010200,0
6075010300,0
6075010400,0
6075010500,0
6075010600,0
6075010700,0
6075010800,0
6075010900,0
6075011000,0
6075011100,0
6075011200,0
6075011300,0
6075011700,0
6075011800,0
6075011901,0
6075011902,0
6075012000,0
6075012100,0
6075012201,1
6075012202,1
6075012301,1
6075012302,0
6075012401,1
6075012402,0
6075012501,0
6075012502,0
6075012601,0
6075012602,0
6075012700,0
6075012800,0
6075012901,0
6075012902,0
6075013000,0
6075013101,0
6075013102,0
6075013200,0
6075013300,0
6075013400,0
6075013500,0
6075015100,0
6075015200,0
6075015300,0
6075015400,0
6075015500,0
6075015600,0
6075015700,0
6075015801,1
6075015802,0
6075015900,0
6075016000,0
6075016100,1
6075016200,0
6075016300,1
6075016400,0
6075016500,0
6075016600,0
6075016700,0
6075016801,0
6075016802,1
6075016900,0
6075017000,0
6075017101,0
6075017102,0
6075017601,0
6075017700,1
6075017801,0
6075017802,0
6075017902,1
6075018000,0
6075020100,1
6075020200,0
6075020300,0
6075020401,0
6075020402,0
6075020500,0
6075020600,0
6075020700,0
6075020800,1
6075020900,1
6075021000,0
6075021100,0
6075021200,0
6075021300,0
6075021400,0
6075021500,0
6075021600,0
6075021700,0
6075021800,0
6075022600,0
6075022702,0
6075022704,0
6075022801,1
6075022802,1
6075022803,1
6075022901,1
6075022902,1
6075022903,0
6075023001,0
6075023003,0
6075023102,1
6075023103,1
6075023200,1
6075023300,0
6075023400,1
6075025100,0
6075025200,0
6075025300,0
6075025401,0
6075025402,0
6075025403,0
6075025500,0
6075025600,0
6075025701,0
6075025702,0
6075025800,0
6075025900,0
6075026001,0
6075026002,0
6075026003,0
6075026004,0
6075026100,0
6075026200,0
6075026301,0
6075026302,0
6075026303,0
6075026401,0
6075026402,0
6075026403,0
6075026404,1
6075030101,0
6075030102,0
6075030201,0
6075030202,0
6075030301,0
6075030302,0
6075030400,0
6075030500,0
6075030600,0
6075030700,0
6075030800,0
6075030900,0
6075031000,0
6075031100,0
6075031201,0
6075031202,0
6075031301,0
6075031302,0
6075031400,0
6075032601,0
6075032602,0
6075032700,0
6075032801,0
6075032802,0
6075032901,0
6075032902,0
6075033000,0
6075033100,0
6075033201,0
6075033203,0
6075033204,0
6075035100,0
6075035201,0
6075035202,0
6075035300,0
6075035400,0
6075040100,0
6075040200,0
6075042601,0
6075042602,0
6075042700,0
6075042800,0
6075045100,0
6075045200,0
6075047600,0
6075047701,0
6075047702,0
6075047801,0
6075047802,0
6075047901,0
6075047902,0
6075060100,0
6075060400,0
6075060502,1
6075060700,0
6075061000,0
6075061100,0
6075061200,1
6075061400,1
6075061500,0
6075980200,0
6075980300,0
6075980501,0
6075980600,1
6075980900,1
